Template,Count,Percentage of Total Constraints,Models Using Template
Precedence,773,20.668449197860962,242
Response,591,15.802139037433156,234
Chain Response,426,11.390374331550802,216
Chain Succession,305,8.155080213903744,188
Existence,254,6.79144385026738,196
Init,252,6.737967914438503,247
End,232,6.2032085561497325,231
Absence,172,4.598930481283422,163
Alternate Response,159,4.251336898395722,127
Exactly,105,2.807486631016043,97
Succession,88,2.3529411764705883,78
Chain Precedence,63,1.6844919786096257,57
Responded Existence,54,1.4438502673796791,49
Not Co-Existence,53,1.4171122994652408,53
Alternate Succession,46,1.2299465240641712,42
Co-Existence,46,1.2299465240641712,42
Not Succession,26,0.6951871657754011,23
Choice,20,0.53475935828877,20
Alternate Precedence,20,0.53475935828877,19
Exclusive Choice,19,0.5080213903743316,19
Not Chain Succession,13,0.34759358288770054,13
Not Precedence,8,0.21390374331550802,8
Not Chain Response,7,0.18716577540106952,7
Not Response,4,0.10695187165775401,4
Not Chain Precedence,3,0.08021390374331551,3
Not Responded Existence,1,0.026737967914438502,1
